gender,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
